CardId,Unit,RuleId,Trigger,Base,Before,After,Answer,Outcome,Translate,Category,Gender
"m-row-2000","1","fem-adj-soft","Noswaith","da","Noswaith ","","dda","soft","Good evening","Phrase",""
"m-row-2001","1","none-gen","Bore","da","Bore ","","da","none","Good morning","Phrase",""
"m-row-2002","1","none-gen","Prynhawn","da","Prynhawn ","","da","none","Good afternoon","Phrase",""
"m-row-2003","1","none-gen","Sut","dych chi","Sut ","","dych chi","none","How are you?","Phrase",""
"m-row-2004","1","none-gen","Da","iawn","Da ","","iawn","none","Very good","Phrase",""
"m-row-2005","1","none-gen","","Diolch","","","Diolch","none","Thank you","Phrase",""
"m-row-2006","1","none-gen","","Hwyl","","","Hwyl","none","Bye","Phrase",""
"m-row-2007","1","fem-adj-soft","Hwyl","fawr","Hwyl ","","fawr","soft","Goodbye (Big fun)","Phrase",""
"m-row-2008","1","none-gen","","Croeso","","","Croeso","none","Welcome","Phrase",""
"m-row-2009","1","none-gen","Nos","da","Nos ","","da","none","Good night","Phrase",""
"m-row-2010","1","none-gen","Pwy","dych chi","Pwy ","","dych chi","none","Who are you?","Phrase",""
"m-row-2011","2","soft-art-fem","Y","merch","Y ","","ferch","soft","The girl","Noun","f"
"m-row-2012","2","soft-art-fem","Y","cegin","Y ","","gegin","soft","The kitchen","Noun","f"
"m-row-2013","2","soft-art-fem","Y","cath","Y ","","gath","soft","The cat","Noun","f"
"m-row-2014","2","soft-art-fem","Y","pont","Y ","","bont","soft","The bridge","Noun","f"
"m-row-2015","2","soft-art-fem","Yr","gardd","Yr ","","ardd","soft","The garden","Noun","f"
"m-row-2016","2","none-art-masc","Y","bachgen","Y ","","bachgen","none","The boy","Noun","m"
"m-row-2017","2","none-art-masc","Y","bwrdd","Y ","","bwrdd","none","The table","Noun","m"
"m-row-2018","2","none-art-masc","Yr","afal","Yr ","","afal","none","The apple","Noun","m"
"m-row-2019","2","soft-art-fem","Yr","ynys","Yr ","","ynys","none","The island","Noun","f"
"m-row-2020","3","no-mut-eisiau","Dw i eisiau","coffi","Dw i eisiau ","","coffi","none","I want coffee","Noun","m"
"m-row-2021","3","no-mut-eisiau","Dw i eisiau","te","Dw i eisiau ","","te","none","I want tea","Noun","m"
"m-row-2022","3","no-mut-eisiau","Dw i eisiau","llaeth","Dw i eisiau ","","llaeth","none","I want milk","Noun","m"
"m-row-2023","3","no-mut-eisiau","Dw i eisiau","siwgr","Dw i eisiau ","","siwgr","none","I want sugar","Noun","m"
"m-row-2024","3","no-mut-eisiau","Dw i eisiau","dŵr","Dw i eisiau ","","dŵr","none","I want water","Noun","m"
"m-row-2025","3","no-mut-eisiau","Dw i eisiau","cwrw","Dw i eisiau ","","cwrw","none","I want beer","Noun","m"
"m-row-2026","3","no-mut-eisiau","Dw i eisiau","gwin","Dw i eisiau ","","gwin","none","I want wine","Noun","m"
"m-row-2027","3","no-mut-eisiau","Dw i eisiau","cacen","Dw i eisiau ","","cacen","none","I want cake","Noun","f"
"m-row-2028","3","no-mut-eisiau","Dw i eisiau","sglodion","Dw i eisiau ","","sglodion","none","I want chips","Noun","m"
"m-row-2029","3","no-mut-eisiau","Dw i eisiau","pysgodyn","Dw i eisiau ","","pysgodyn","none","I want fish","Noun","m"
"m-row-2030","3","no-mut-eisiau","Dw i eisiau","arian","Dw i eisiau ","","arian","none","I want money","Noun","m"
"m-row-2031","3","no-mut-eisiau","Dw i eisiau","swydd","Dw i eisiau ","","swydd","none","I want job","Noun","f"
"m-row-2032","3","no-mut-eisiau","Dw i eisiau","paned","Dw i eisiau ","","paned","none","I want cuppa","Noun","f"
"m-row-2033","4","soft-mut-o","Dw i'n dod o","Talybont","Dw i'n dod o ","","Dalybont","soft","I come from Talybont","PlaceName",""
"m-row-2034","4","soft-mut-i","Dw i'n mynd i","Talybont","Dw i'n mynd i ","","Dalybont","soft","I'm going to Talybont","PlaceName",""
"m-row-2035","4","soft-mut-o","Dw i'n dod o","Tyddewi","Dw i'n dod o ","","Dyddewi","soft","I come from St Davids","PlaceName",""
"m-row-2036","4","soft-mut-i","Dw i'n mynd i","Tyddewi","Dw i'n mynd i ","","Dyddewi","soft","I'm going to St Davids","PlaceName",""
"m-row-2037","4","soft-mut-o","Dw i'n dod o","Caerdydd","Dw i'n dod o ","","Gaerdydd","soft","I come from Cardiff","PlaceName",""
"m-row-2038","4","soft-mut-i","Dw i'n mynd i","Caerdydd","Dw i'n mynd i ","","Gaerdydd","soft","I'm going to Cardiff","PlaceName",""
"m-row-2039","4","soft-mut-o","Dw i'n dod o","Ceredigion","Dw i'n dod o ","","Geredigion","soft","I come from Ceredigion","PlaceName",""
"m-row-2040","4","soft-mut-i","Dw i'n mynd i","Ceredigion","Dw i'n mynd i ","","Geredigion","soft","I'm going to Ceredigion","PlaceName",""
"m-row-2041","4","soft-mut-o","Dw i'n dod o","Pontypridd","Dw i'n dod o ","","Bontypridd","soft","I come from Pontypridd","PlaceName",""
"m-row-2042","4","soft-mut-i","Dw i'n mynd i","Pontypridd","Dw i'n mynd i ","","Bontypridd","soft","I'm going to Pontypridd","PlaceName",""
"m-row-2043","4","soft-mut-o","Dw i'n dod o","Dolgellau","Dw i'n dod o ","","Ddolgellau","soft","I come from Dolgellau","PlaceName",""
"m-row-2044","4","soft-mut-i","Dw i'n mynd i","Dolgellau","Dw i'n mynd i ","","Ddolgellau","soft","I'm going to Dolgellau","PlaceName",""
"m-row-2045","4","soft-mut-o","Dw i'n dod o","Gwynedd","Dw i'n dod o ","","Wynedd","soft","I come from Gwynedd","PlaceName",""
"m-row-2046","4","soft-mut-i","Dw i'n mynd i","Gwynedd","Dw i'n mynd i ","","Wynedd","soft","I'm going to Gwynedd","PlaceName",""
"m-row-2047","4","soft-mut-o","Dw i'n dod o","Bangor","Dw i'n dod o ","","Fangor","soft","I come from Bangor","PlaceName",""
"m-row-2048","4","soft-mut-i","Dw i'n mynd i","Bangor","Dw i'n mynd i ","","Fangor","soft","I'm going to Bangor","PlaceName",""
"m-row-2049","4","soft-mut-o","Dw i'n dod o","Llanelli","Dw i'n dod o ","","Lanelli","soft","I come from Llanelli","PlaceName",""
"m-row-2050","4","soft-mut-i","Dw i'n mynd i","Llanelli","Dw i'n mynd i ","","Lanelli","soft","I'm going to Llanelli","PlaceName",""
"m-row-2051","4","soft-mut-o","Dw i'n dod o","Lloegr","Dw i'n dod o ","","Loegr","soft","I come from England","PlaceName",""
"m-row-2052","4","soft-mut-i","Dw i'n mynd i","Lloegr","Dw i'n mynd i ","","Loegr","soft","I'm going to England","PlaceName",""
"m-row-2053","4","soft-mut-o","Dw i'n dod o","Machynlleth","Dw i'n dod o ","","Fachynlleth","soft","I come from Machynlleth","PlaceName",""
"m-row-2054","4","soft-mut-i","Dw i'n mynd i","Machynlleth","Dw i'n mynd i ","","Fachynlleth","soft","I'm going to Machynlleth","PlaceName",""
"m-row-2055","4","no-mut-generic","Dw i'n dod o","Abertawe","Dw i'n dod o ","","Abertawe","none","I come from Swansea","PlaceName",""
"m-row-2056","4","no-mut-generic","Dw i'n mynd i","Abertawe","Dw i'n mynd i ","","Abertawe","none","I'm going to Swansea","PlaceName",""
"m-row-2057","4","prep-art-contract-vowel","Dw i'n dod o","Yr Alban","Dw i'n dod (o) ","","o'r Alban","none","I come from Scotland","PlaceName",""
"m-row-2058","4","prep-art-contract-vowel","Dw i'n mynd i","Yr Alban","Dw i'n mynd (i) ","","i'r Alban","none","I'm going to Scotland","PlaceName",""
"m-row-2059","4","prep-art-contract-vowel","Dw i'n dod o","Yr Eidal","Dw i'n dod (o) ","","o'r Eidal","none","I come from Italy","PlaceName",""
"m-row-2060","4","prep-art-contract-vowel","Dw i'n mynd i","Yr Eidal","Dw i'n mynd (i) ","","i'r Eidal","none","I'm going to Italy","PlaceName",""
"m-row-2061","4","no-mut-generic","Dw i'n dod o","America","Dw i'n dod o ","","America","none","I come from America","PlaceName",""
"m-row-2062","4","no-mut-generic","Dw i'n mynd i","America","Dw i'n mynd i ","","America","none","I'm going to America","PlaceName",""
"m-row-2063","4","no-mut-generic","Dw i'n dod o","Awstralia","Dw i'n dod o ","","Awstralia","none","I come from Australia","PlaceName",""
"m-row-2064","4","no-mut-generic","Dw i'n mynd i","Awstralia","Dw i'n mynd i ","","Awstralia","none","I'm going to Australia","PlaceName",""
"m-row-2065","4","prep-art-contract","Dw i'n dod o","Y Rhyl","Dw i'n dod (o) ","","o'r Rhyl","none","I come from Rhyl","PlaceName",""
"m-row-2066","4","prep-art-contract","Dw i'n mynd i","Y Rhyl","Dw i'n mynd (i) ","","i'r Rhyl","none","I'm going to Rhyl","PlaceName",""
"m-row-2067","4","prep-art-contract","Dw i'n dod o","Y Bala","Dw i'n dod (o) ","","o'r Bala","none","I come from Bala","PlaceName",""
"m-row-2068","4","prep-art-contract","Dw i'n mynd i","Y Bala","Dw i'n mynd (i) ","","i'r Bala","none","I'm going to Bala","PlaceName",""
"m-row-2069","5","past-gwneud","Gwnes i...","coginio","","","gwnes i goginio","soft","I cooked","Verb",""
"m-row-2070","5","past-short","____ i","coginio","([Past]) i ","","coginiais","none","I cooked","Verb",""
"m-row-2071","5","past-gwneud","Gwnes i...","golchi","","","gwnes i olchi","soft","I washed","Verb",""
"m-row-2072","5","past-short","____ i","golchi","([Past]) i ","","golchais","none","I washed","Verb",""
"m-row-2073","5","past-gwneud","Gwnes i...","edrych","","","gwnes i edrych","soft","I looked/watched","Verb",""
"m-row-2074","5","past-short","____ i","edrych","([Past]) i ","","edrychais","none","I looked/watched","Verb",""
"m-row-2075","5","past-gwneud","Gwnes i...","ymlacio","","","gwnes i ymlacio","soft","I relaxed","Verb",""
"m-row-2076","5","past-short","____ i","ymlacio","([Past]) i ","","ymlaciais","none","I relaxed","Verb",""
"m-row-2077","5","past-gwneud","Gwnes i...","ymolchi","","","gwnes i ymolchi","soft","I washed myself","Verb",""
"m-row-2078","5","past-short","____ i","ymolchi","([Past]) i ","","ymolchais","none","I washed myself","Verb",""
"m-row-2079","5","past-gwneud","Gwnes i...","gwneud","","","gwnes i","soft","I did/made","Verb",""
"m-row-2080","5","past-short","____ i","gwneud","([Past]) i ","","gwnes","none","I did/made","Verb",""
"m-row-2081","6","pred-adj-soft","Mae hi'n","braf","Mae hi'n ","","fraf","soft","It is fine","Adjective",""
"m-row-2082","6","pred-adj-soft","Mae hi'n","oer","Mae hi'n ","","oer","none","It is cold","Adjective",""
"m-row-2083","6","pred-adj-soft","Mae hi'n","stormus","Mae hi'n ","","stormus","none","It is stormy","Adjective",""
"m-row-2084","6","pred-adj-soft","Mae hi'n","sych","Mae hi'n ","","sych","none","It is dry","Adjective",""
"m-row-2085","6","pred-adj-soft","Mae hi'n","gwyntog","Mae hi'n ","","wyntog","soft","It is windy","Adjective",""
"m-row-2086","6","pred-adj-soft","Mae hi'n","gwlyb","Mae hi'n ","","wlyb","soft","It is wet","Adjective",""
"m-row-2087","6","pred-adj-soft","Mae hi'n","cymylog","Mae hi'n ","","gymylog","soft","It is cloudy","Adjective",""
"m-row-2088","6","pred-adj-soft","Mae hi'n","poeth","Mae hi'n ","","boeth","soft","It is hot","Adjective",""
"m-row-2089","7","soft-num-fem","dau","bws","dau ","","fws","soft","Two buses","Number",""
"m-row-2090","7","soft-num-fem","dwy","punt","dwy ","","bunt","soft","Two pounds","Number",""
"m-row-2091","7","aspirate-num-masc","tri","mab","tri ","","mab","aspirate","Three sons","Number",""
"m-row-2092","7","aspirate-num-masc","tair","ceiniog","tair ","","ceiniog","none","Three pennies","Number",""
"m-row-2093","7","aspirate-num-masc","Ble mae'r","plant","Ble mae'r ","","plant","none","Where are the children?","Bod",""
"m-row-2094","7","aspirate-num-masc","Sut mae'r","tywydd","Sut mae'r ","","tywydd","none","How is the weather?","Bod",""
"m-row-2095","8","soft-verb-interrog","Beth dych chi'n","gwneud","Beth dych chi'n ","","wneud","soft","What are you doing?","Verb",""
"m-row-2096","8","soft-verb-interrog","Beth dych chi'n","bwyta","Beth dych chi'n ","","fwyta","soft","What are you eating?","Verb",""
"m-row-2097","8","soft-verb-interrog","Beth dych chi'n","darllen","Beth dych chi'n ","","ddarllen","soft","What are you reading?","Verb",""
"m-row-2098","8","soft-verb-interrog","Beth dych chi'n","yfed","Beth dych chi'n ","","yfed","none","What are you drinking?","Verb",""
"m-row-2099","8","soft-verb-interrog","Beth dych chi'n","gwylio","Beth dych chi'n ","","wylio","soft","What are you watching?","Verb",""
"m-row-2100","8","soft-verb-interrog","Beth dych chi'n","chwarae","Beth dych chi'n ","","ghwarae","soft","What are you playing?","Verb",""
"m-row-2101","9","short-past-obj-soft","Prynais i","bara","Prynais i ","","fara","soft","I buy bread","Noun",""
"m-row-2102","9","short-past-obj-soft","Darllenais i","lyfr","Darllenais i ","","lyfr","none","I read a book","Noun",""
"m-row-2103","9","short-past-obj-soft","Bwytais i","brecwast","Bwytais i ","","frecwast","soft","I eat breakfast","Noun",""
"m-row-2104","9","short-past-obj-soft","Gwelais i","ffilm","Gwelais i ","","ffilm","none","I see a film","Noun",""
"m-row-2105","9","short-past-obj-soft","Yfais i","coffi","Yfais i ","","goffi","soft","I drink coffee","Noun",""